OPEN_DATE,STATUS_NAME,DEPOSIT_NUMBER,MAIN_CUSTOMER_NUMBER,MAIN_CUSTOMER_NATIONAL_CODE,MAIN_CUSTOMER_NAME,IS_REAL,LAST_DATE,FIRST_DATE,DEPOSIT_TYPE_ID,SCORE_MONTH_TRUNC
1403/04/28,بسته,3120081362235,25863960,943139910,مريم علي فخرآبادي,1,1405/03/28,1405/02/29,417070386234,0
1403/03/28,باز,3120078326158,41087668,1972220500,هادي كريمي ارپناهي,1,1405/03/28,1405/02/29,417070386234,169863
1403/03/28,باز,3120078423145,6575617,1199402281,محمدصادق شفيعي,1,1405/03/28,1405/02/29,417070386234,22727
1403/04/28,باز,3120081468379,13406205,3800741164,ماه منير مرادحاصلي,1,1405/03/28,1405/02/29,417070386234,5274801
1403/04/28,باز,3120081368031,26851532,2994078740,سجاد طهماسبي كوهپايه,1,1405/03/28,1405/02/29,417070386234,0
1403/04/28,باز,3120081366307,8527517,450853561,عبدالمطلب رحيمي,1,1405/03/28,1405/02/29,417070386234,4995
1403/03/28,باز,3120078327083,44709841,1718768451,اميرعلي غفاري,1,1405/03/28,1405/02/29,417070386234,305515
1403/03/28,باز,3120078373493,32501365,6489618486,پويان نصيري,1,1405/03/28,1405/02/29,417070386234,229000
1403/03/28,باز,3120078326501,5582773,1063535182,زكيه فدائيان,1,1405/03/28,1405/02/29,417070386234,0
1403/03/28,باز,3120078373257,57825160,311695981,ابوالفضل بيگدلي,1,1405/03/28,1405/02/29,417070386234,849315
1403/03/28,باز,3120078373121,35619882,910153353,محمدرضا قدبي بهابادي,1,1405/03/28,1405/02/29,417070386234,0
1403/03/28,بسته,3120078424081,21614795,3501211325,محمد بابلي,1,1405/03/28,1405/02/29,417070386234,0
1403/03/28,باز,3120078465974,4586956,3932846575,حسين زندبگله,1,1405/03/28,1405/02/29,417070386234,0
1403/04/28,باز,3120081611038,15109311,640929753,محمد رضائي,1,1405/03/28,1405/02/29,417070386234,96220
1403/03/28,باز,3120078469457,24985263,936771003,ليلا احمديان فرد,1,1405/03/28,1405/02/29,417070386234,6169
1403/03/28,باز,3120078327517,11833627,2596119455,الياس دهقان گالش خيلي,1,1405/03/28,1405/02/29,417070386234,0
1403/03/28,باز,3120078468861,46188109,4610606380,مرضيه قاسمي چالشتري,1,1405/03/28,1405/02/29,417070386234,0
1403/04/28,باز,3120081468720,57422393,2296231128,جواد عفيفي خانه زنياني,1,1405/03/28,1405/02/29,417070386234,964
1403/03/28,باز,3120078466168,51426706,1819939091,جهاد مجدم,1,1405/03/28,1405/02/29,417070386234,117630
1403/04/28,باز,3120081467172,34747514,2860671919,سپهر افراز,1,1405/03/28,1405/02/29,417070386234,48428
1403/04/28,باز,3120081369843,34862509,3255478480,احسان كامكار,1,1405/03/28,1405/02/29,417070386234,23746
1403/03/28,باز,3120078425392,48145025,3873505258,محمدرضا پلمه,1,1405/03/28,1405/02/29,417070386234,3397260
1403/04/28,باز,3120081366329,14000696,4421428167,سيدسپهر حداديان,1,1405/03/28,1405/02/29,417070386234,12374740
1403/04/28,باز,3120081366967,8207422,4539865188,علي عربي,1,1405/03/28,1405/02/29,417070386234,0
1403/04/28,باز,3120081465389,37552738,2742144595,محمدمهدي عظيمي,1,1405/03/28,1405/02/29,417070386234,256539
1403/04/28,باز,3120081368543,52862376,3732502856,طيفور نادري,1,1405/03/28,1405/02/29,417070386234,16614
1403/03/28,باز,3120078327643,4008111,1741481740,قاسم بروايه,1,1405/03/28,1405/02/29,417070386234,46977
1403/04/28,باز,3120081467617,37405845,2296100074,فريدون جعفري,1,1405/03/28,1405/02/29,417070386234,73558317
1403/04/28,باز,3120081611595,31347631,1290690537,مهدي نظري,1,1405/03/28,1405/02/29,417070386234,0
1403/03/28,باز,3120078469136,39283101,19422083,حسين خوشنويسان,1,1405/03/28,1405/02/29,417070386234,26829
1403/03/28,بسته,3120078326103,21029218,1293539988,جواد شجاعي,1,1405/03/28,1405/02/29,417070386234,0
1403/04/28,باز,3120081362279,57322111,5829948060,اصغر سرخي,1,1405/03/28,1405/02/29,417070386234,0
1403/04/28,باز,3120081469680,36379274,2500261301,رضا رفيعي نسب,1,1405/03/28,1405/02/29,417070386234,47561
1403/03/28,باز,3120078467550,33564101,4890254511,فريبرز اميني,1,1405/03/28,1405/02/29,417070386234,87479
1403/03/28,باز,3120078469435,39142959,2210180716,سيداحمد معافي مدني,1,1405/03/28,1405/02/29,417070386234,830630
